[2026-08-11 09:19:06] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:19:06] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:19:06] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:19:06] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:20:34] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:20:34] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:20:34] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:20:34] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:20:36] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:20:36] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:20:36] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:20:36] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:20:54] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:20:54] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:20:54] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:20:54] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:01] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:01] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:01] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:01] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:03] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:03] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:03] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:03] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:14] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:14] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:14] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:14] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:42] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:42] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:21:42] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:21:42] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:00] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:00] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:00] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:00] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:02] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:10] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:10] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:10] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:10] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:30] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:30] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:30] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:30] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:48] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:48] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:22:48] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 09:22:48] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 09:33:42] WARNING: E_WARNING: rename(data\tmp\tmp26AF.tmp,data/cache/application/routes.php): Access is denied (code: 5)
[2026-08-11 09:33:46] WARNING: E_WARNING: rename(data\tmp\tmp33D1.tmp,data/cache/application/classmapControllers.php): Access is denied (code: 5)
[2026-08-11 09:50:11] WARNING: E_WARNING: rename(data\tmp\tmp3F1F.tmp,data/cache/application/routes.php): Access is denied (code: 5)
[2026-08-11 10:12:15] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 10:12:15] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 10:12:15] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 10:12:15] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 10:12:37] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 10:12:37] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 10:12:37] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 10:12:37] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 10:16:16] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 10:16:16] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 10:16:16] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 10:16:16] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 10:34:05] WARNING: (400) Field validation failure; entityType: CHRRequest, field: dcisionDemp, type: required. :: POST /CHRRequest
[2026-08-11 10:35:40] WARNING: (400) Field validation failure; entityType: CHRRequest, field: dcisionDemp, type: required. :: POST /CHRRequest
[2026-08-11 10:39:31] WARNING: E_WARNING: rename(data\tmp\tmp6953.tmp,data/cache/application/metadata.php): Access is denied (code: 5)
[2026-08-11 10:39:31] WARNING: E_WARNING: rename(data\tmp\tmp6953.tmp,data/cache/application/metadata.php): Access is denied (code: 5)
[2026-08-11 10:46:13] CRITICAL: (500) Before-save formula script failed. Incorrect braces usage in expression 'Reporté';     } }. :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\Core\Formula\Exceptions\SyntaxError.php(48)
[2026-08-11 10:46:18] CRITICAL: (500) Before-save formula script failed. Incorrect braces usage in expression 'Reporté';     } }. :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\Core\Formula\Exceptions\SyntaxError.php(48)
[2026-08-11 10:46:23] CRITICAL: (500) Before-save formula script failed. Incorrect braces usage in expression 'Reporté';     } }. :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\Core\Formula\Exceptions\SyntaxError.php(48)
[2026-08-11 10:46:28] CRITICAL: (500) Before-save formula script failed. Incorrect braces usage in expression 'Reporté';     } }. :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\Core\Formula\Exceptions\SyntaxError.php(48)
[2026-08-11 10:46:34] CRITICAL: (500) Before-save formula script failed. Incorrect braces usage in expression 'Reporté';     } }. :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\Core\Formula\Exceptions\SyntaxError.php(48)
[2026-08-11 10:57:31] WARNING: E_WARNING: rename(data\tmp\tmpE233.tmp,data/cache/application/routes.php): Access is denied (code: 5)
[2026-08-11 11:23:25] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 11:23:25] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 11:23:25] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 11:23:25] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 11:23:55] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 11:23:55] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 11:23:55] WARNING: E_WARNING: DOMDocument::loadHTML(): Tag o:p invalid in Entity, line: 8
[2026-08-11 11:23:55] WARNING: E_WARNING: DOMDocument::loadHTML(): Unexpected end tag : h2 in Entity, line: 8
[2026-08-11 11:26:02] WARNING: (403) No access to attachment. :: GET / :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\EntryPoints\Attachment.php(70)
[2026-08-11 11:26:05] WARNING: (403) No access to attachment. :: GET / :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\EntryPoints\Attachment.php(70)
[2026-08-11 11:26:09] WARNING: (403) No access to attachment. :: GET / :: C:\inetpub\wwwroot\AssetFlowCRM\application\Espo\EntryPoints\Attachment.php(70)
[2026-08-11 12:04:12] WARNING: E_WARNING: rename(data\tmp\tmpF113.tmp,data/cache/application/classmapEntities.php): Access is denied (code: 5)
[2026-08-11 12:04:12] WARNING: E_WARNING: rename(data\tmp\tmpF113.tmp,data/cache/application/classmapEntities.php): Access is denied (code: 5)
